"gene_ID"	"TMM/CPM"	"DESeq2"	"TPM"	"UQ"
"SmLINC155414-IBu"	1.05439647733697	0.976797017334444	0.851349522239303	1.18316201120041
"SmLINC155429-IBu"	1.63444559501735	1.68992639037941	2.13342325570126	1.65464648057069
"SmLINC155431-IBu"	1.44947943279672	1.55772883399985	1.97438466639144	1.4390091409945
"SmLINC105428-IBu"	2.05437358952228	2.05659789253711	2.09256731678351	1.96537861366114
"SmLNCA155444-IBu"	2.7492014750547	2.7353617911405	3.04312564560902	2.69564447772711
"SmLNCA155445-IBu"	0.644110204118169	0.684981917702796	0.909009940131747	0.638586878184786
"SmLNCA105430-IBu"	1.18816198067954	1.21267486775387	1.39003664213687	1.11347147210053
"SmLNCA155451-IBu"	1.34947306794322	1.19480266675662	1.4406928416384	1.29228951657082
"SmLNCA155465-IBu"	0.653352014799002	0.676126528333522	0.588835047645532	0.737244054497407
"SmLINC155486-IBu"	1.41821450529722	1.40574345686	1.26049382613527	1.49790794425334
"SmLNCA155503-IBu"	0.807573799785214	0.82725439280607	0.525414766342289	0.969983653159343
"SmLINC155514-IBu"	3.14205849639081	3.25689630776947	3.73948458609211	3.00777635255056
"SmLINC155515-IBu"	1.56427796809081	1.55421857987301	1.51018194824295	1.65747971179165
"SmLINC155516-IBu"	1.99694741684696	2.08767964233067	2.11868431857586	1.95934005802301
"SmLINC155518-IBu"	1.51159537829065	1.59539252912472	1.33520667023587	1.52208001397615
"SmLNCA105443-IBu"	0.322421120794067	0.346582125915587	0.508510042128092	0.359468378532778
"SmLNCA155550-IBu"	0.877547466705709	0.964931666436428	1.37259623137451	0.804505540212213
"SmLNCA155572-IBu"	0.760176034379047	0.815683026707475	1.10025925594168	0.754460290153646
"SmLINC155586-IBu"	1.19726918686779	1.21217795674148	1.04779691003002	1.257275038085
"SmLINC155649-IBu"	1.32864436112043	1.15883551571974	0.968736018607398	1.4924877714096
"SmLINC155651-IBu"	0.974149777750975	1.00768612457374	0.970050099017944	1.06511727876715
"SmLNCA155665-IBu"	1.65332785608655	1.79334823838292	2.38950386454142	1.56505406123868
"SmLNCA155670-IBu"	0.8686871846428	0.799640781819362	0.9288997101686	0.870284241701653
"SmLINC105451-IBu"	1.15979912980181	1.17842954387496	0.963965656772881	1.17675375854621
"SmLNCA155674-IBu"	2.07031218413989	2.13063897842531	2.05002988640873	2.08612931474237
"SmLNCA155678-IBu"	3.12119960874773	2.9107171062043	2.19672576693313	3.19760127492317
"SmLNCA155680-IBu"	1.35329522583943	1.38006641949808	1.47231634164116	1.38317140239796
"SmLNCS155691-IBu"	0.782565277240155	0.878181844745978	0.850474977391472	0.840204421404268
"SmLNCA155737-IBu"	2.89789791824833	3.02218902770084	3.75373046399928	2.72777712186036
"SmLNCA155741-IBu"	0.86302309682702	0.950665260899572	1.23938392336572	0.862165083818622
"SmLINC155749-IBu"	2.32337550927218	2.29646562827274	2.56830675996258	2.31189319309295
"SmLINC155753-IBu"	2.21492495437492	2.22965828603693	2.33575251208106	2.1890903947878
"SmLINC155756-IBu"	2.04832375038671	2.07017913040033	2.29251883761769	2.0283300512586
"SmLINC155761-IBu"	1.90027920902116	1.9101987561253	1.79827384451751	1.96029688277558
"SmLNCA155762-IBu"	1.03954653689223	1.02785222426086	1.10322628431253	1.00453262315064
"SmLINC155764-IBu"	1.27828332842465	1.33195988965246	1.29923486799874	1.31972215472446
"SmLINC105464-IBu"	1.30769693514254	1.31578399805328	1.53852827298781	1.29216908384297
"SmLNCS105463-IBu"	0.890415986023766	0.881957425832443	0.920296370594561	0.912737440924311
"SmLNCA155778-IBu"	1.47588053485889	1.56862768370567	1.66509742483958	1.50150465119881
"SmLNCA155786-IBu"	1.40088759757394	1.37178176253681	1.58017689782767	1.32997132894315
"SmLNCS155814-IBu"	1.7766474494415	1.6777365647851	1.362159614519	1.83722393366305
"SmLNCA155829-IBu"	1.94952271655009	1.97952375777456	1.79979192377948	2.01377461642245
"SmLNCA155845-IBu"	1.79933667964499	1.95353606084781	1.35579254473168	1.8752739533588
"SmLNCA105470-IBu"	1.24369718865903	1.27045936530168	1.43352208953647	1.26632314036495
"SmLNCA155872-IBu"	0.504096790555154	0.562150504676854	0.714353590564047	0.5137248701145
"SmLNCA155876-IBu"	2.07658193923023	2.11368654287139	2.32590308210933	2.06163923244754
"SmLNCA155877-IBu"	1.96811227723842	1.92197709962153	2.05162664646789	1.8661218958834
"SmLNCA155879-IBu"	0.431592698353996	0.42798801326305	0.571704183083794	0.425332616563849
"SmLINC155903-IBu"	1.80184432418514	1.96282360059245	2.50780563210499	1.73685363411009
"SmLNCS155912-IBu"	2.01309504620354	2.00887328700683	2.36636768680616	2.16699896051043
"SmLINC155919-IBu"	1.98481415588837	1.99067564612407	1.88402951005734	2.01975983916977
"SmLINC155920-IBu"	2.29117119991566	2.295007828691	2.17472496516058	2.40449074239624
"SmLNCS155924-IBu"	2.74943122736602	2.92530590717739	3.34574002505977	2.62719530514813
"SmLINC155959-IBu"	2.69848605684186	2.94459875745476	3.35359824440439	2.54299194181071
"SmLINC155960-IBu"	2.0624379601223	1.9758700544528	2.00031901971845	2.01493213360342
"SmLNCA155977-IBu"	1.54091332405114	1.61165986204905	1.7583412481055	1.58263139709991
"SmLNCA155992-IBu"	1.48840084842398	1.62859720407183	2.03488483149008	1.39515154748285
"SmLINC105499-IBu"	1.62698402294228	1.59739885928578	1.70997047381884	1.69038302291941
"SmLINC105500-IBu"	0.822504071584327	0.763792061688172	0.703054472806762	0.893777200631574
"SmLINC105501-IBu"	2.15268318190282	2.07064355038493	1.75930506143587	2.3577439370415
"SmLNCS156009-IBu"	3.13563584238719	2.9785868694652	3.42201374678663	3.12411102938003
"SmLINC156031-IBu"	0.577933519893853	0.576364731258161	0.680353347546916	0.616067621685672
"SmLNCA156055-IBu"	1.83899639434738	1.81439657030144	1.889957362704	1.85233001544715
"SmLINC156065-IBu"	1.79448646240162	1.84217669003548	1.91871698605169	1.79604724012813
"SmLNCA156063-IBu"	2.65182298106933	2.66112978121562	2.6898097057144	2.65182589447681
"SmLNCA156064-IBu"	1.95733603356779	1.9053072639071	2.06627519522519	1.97281771614077
"SmLNCA156068-IBu"	1.1662619488324	1.19624678847369	1.06368639819398	1.22219891319621
"SmLNCA156069-IBu"	1.32813174712505	1.32718028312448	1.44602325856634	1.27731560212149
