"gene_ID"	"TMM/CPM"	"DESeq2"	"TPM"	"UQ"
"Smp_337100.2"	1.56831523220959	1.59817166441349	1.60188596210932	1.56899570084194
"Smp_337100.4"	1.60002526027236	1.59326973143777	1.72146735063495	1.56648092020659
"Smp_337100.5"	1.51839088428552	1.5167102145534	1.61730372143324	1.50057984137052
"Smp_337110.1"	0.434973504571404	0.4226928518872	0.599771238845543	0.376786010884697
"Smp_337130.1"	0.407596573033828	0.423420705845622	0.548702972598215	0.402262212902847
"Smp_337130.2"	0.593862885361043	0.581760513351604	0.763981787803808	0.532841614920063
"Smp_337130.3"	0.275071739945726	0.251433542176247	0.426263035254718	0.247200756787446
"Smp_337140.1"	0.72594511670587	0.704959095334207	0.679891644212756	0.767969606316667
"Smp_337140.2"	0.452636781672923	0.471336814954945	0.384960367685533	0.481693803873123
"Smp_337140.3"	0.974792617891302	0.967156098969175	0.983908415463522	1.01602166232147
"Smp_337140.4"	0.761235239466859	0.770905461000514	0.743985016568712	0.80608587519668
"Smp_337140.5"	0.420627693003673	0.426900219747737	0.531743711270198	0.434489017206231
"Smp_337140.6"	0.513229025351654	0.486672664096123	0.519210116019882	0.547854108146388
"Smp_337140.7"	0.176535520192627	0.172834373222433	0.29529479774688	0.202593238827028
"Smp_337150.1"	0.874353944719364	0.877870207504219	0.984097342753614	0.855917838226
"Smp_337150.2"	1.18055915953385	1.20362003404354	1.29140602406581	1.15593211410717
"Smp_337190.1"	1.04833319674817	1.09359555080128	0.65345499506956	1.09047137730201
"Smp_337200.1"	1.1390320079962	1.21181730149029	1.18269169350985	1.12179837473812
"Smp_337220.1"	2.43547549356413	2.50589924338116	2.28931559757362	2.49021236470105
"Smp_337230.1"	0.963776694958229	0.95352909104789	0.98955833209927	0.924519735595168
"Smp_337240.1"	1.157178829452	1.15249332410725	1.25272825035472	1.13683919327524
"Smp_337240.3"	1.03061021254379	1.08135878055069	1.06139976085206	1.01034604680894
"Smp_337250.1"	1.75046532144265	1.67138581422366	1.72912536871393	1.6591747804921
"Smp_337260.1"	1.47005732781433	1.46355293053333	1.52109159146534	1.46510495808575
"Smp_337260.2"	0.539293438652809	0.528483325290008	0.631983459318094	0.531953364527152
"Smp_337280.1"	0.579551319269194	0.639571752302199	0.616396206137642	0.558537335103402
"Smp_337290.1"	0.414948779490448	0.459223500453937	0.433484722721181	0.423074565934991
"Smp_337300.1"	1.08621461371216	1.06104483724098	1.02225845256616	1.13327149084099
"Smp_337310.3"	3.44464768567172	3.53880518769764	2.96632655606856	3.53408665811329
"Smp_337320.1"	0.337406422946338	0.348284194708799	0.422719478495634	0.33642189651735
"Smp_337320.2"	0.572312609373712	0.580390404619639	0.603948846405967	0.604942880227382
"Smp_337330.1"	1.0353242313542	1.01815771641862	1.0283876632926	1.08464181053255
"Smp_337330.2"	0.92311088860778	0.998093544217233	0.971573838146756	0.962803542043383
"Smp_337330.3"	1.04847887146826	1.06015728352295	0.966068347162114	1.10470833278648
"Smp_337340.1"	0.195107870867595	0.188351718088194	0.315773368481923	0.206569455770533
"Smp_337350.1"	0.869410604571462	0.872194314218067	1.0306877882717	0.82740568514196
"Smp_337370.1"	0.753558440077157	0.743422802237732	0.901634235709829	0.720505921640257
"Smp_337380.1"	1.54830978820016	1.54158202289772	1.58499820035318	1.53970818638013
"Smp_337390.1"	0.415718451713925	0.400859676701541	0.45363829382133	0.400423809731921
"Smp_337390.2"	1.44018075252271	1.47171006210695	1.47727563865278	1.42600238642686
"Smp_337390.3"	0.477530005802037	0.490828428501238	0.357425626415525	0.534357479569967
"Smp_337400.1"	0.353393673782597	0.336147108030432	0.470717108188789	0.33080473037826
"Smp_337400.2"	0.640672766887047	0.638971256260331	0.813196056253018	0.580376147707242
"Smp_337400.3"	0.304957869514079	0.298461400232289	0.388864892156309	0.302771247884918
"Smp_337410.1"	1.1472661554722	1.14421352616899	1.35421425077641	1.09258024572785
"Smp_337410.2"	0.357288896123202	0.3453689572396	0.526712893223327	0.343580127061544
"Smp_337420.1"	0.329604280455452	0.344406196604149	0.271495048024308	0.367080846146064
"Smp_337420.2"	0.55459559972205	0.627878248326113	0.55295414549923	0.611692482211873
"Smp_337430.1"	0.5266921567389	0.586701088397932	0.395681776400299	0.545876374852431
"Smp_337440.1"	1.23148562899603	1.28427226690423	1.3724176806906	1.17275862891755
"Smp_337460.1"	0.267332639391594	0.271517239427966	0.356618618989773	0.253760618597909
"Smp_337470.1"	0.31230639948017	0.300547378100696	0.301615518795798	0.379859525748443
"Smp_337480.1"	2.01198864226885	2.11710279259039	1.76430713634416	2.05459584082287
"Smp_337480.2"	0.853554725160317	0.850395369175729	0.955718212975145	0.83942697300283
"Smp_337490.1"	0.556470439261691	0.542085850061888	0.575467403399186	0.524177386627743
"Smp_337500.1"	2.38692224550664	2.39470197970848	2.33720136042176	2.44745064251496
"Smp_337510.1"	0.63360428360219	0.634590617808703	0.581513860617541	0.680541342346009
"Smp_337520.1"	1.59756076650274	1.6631489688364	1.65037929153994	1.61965548821573
"Smp_337530.1"	0.291170976700599	0.273640951392727	0.331876631995482	0.301156617731073
"Smp_337550.1"	0.367322323024394	0.41685957177445	0.352210895366103	0.4324982939507
"Smp_337560.1"	0.231227755608603	0.256817997553323	0.206051453023057	0.257406902981227
"Smp_337560.2"	0.827690344401828	0.858799016833497	0.940956470594111	0.77071718695291
"Smp_337570.1"	0.301398009994147	0.406691870434304	0.396746323805322	0.353114547653991
"Smp_337570.2"	0.516072216128901	0.512855985944388	0.546962112024839	0.518375992274623
"Smp_337580.1"	0.571433197315411	0.560125134874639	0.769933726286529	0.504268470098996
"Smp_337590.1"	0.537772034364593	0.57814180712621	0.522710293230541	0.600847424403334
"Smp_337610.1"	0.290622296829808	0.294628678904228	0.467375569386849	0.251797270332691
"Smp_337610.2"	0.876537019130059	0.900090505026758	0.868605560422374	0.824687808993721
"Smp_337610.3"	1.34180823810102	1.34360142341157	1.39845584315977	1.3350445555593
"Smp_337620.1"	0.348054103879495	0.326102030747399	0.388048753978998	0.348983989633307
"Smp_337630.1"	0.336723634944071	0.312252913860478	0.470801429156019	0.28824544375223
"Smp_337650.1"	1.34508225160418	1.49765459012371	1.00893250577051	1.41109512422664
"Smp_337660.1"	0.823907735105745	0.634552339234167	0.617148308054386	0.777580734583125
